movie_id,title,release_date,popularity,vote_average,vote_count,has_theatrical_release,providers,director,genres,budget,main_cast,runtime,production_company_count,has_major_studio,is_franchise,release_year,release_month,is_summer_release,is_holiday_release,cast_star_power,director_popularity,vote_density,log_budget,log_votes,gt_peak,gt_auc,gt_decay,yt_views,yt_likes,yt_views_density,yt_likes_density,success_bool
564637,A Wedding for Christmas,2018-11-25,5.501,6.3,12,FALSE,['Amazon Prime Video'],Fred Olen Ray,"['TV Movie', 'Romance']",0,"['Cristine Prosperi', 'Colton Little', 'Vivica A. Fox']",90,1,FALSE,FALSE,2018,11,FALSE,TRUE,1.9052,1.0732,1.5,0,2.564949357,100,300,0,318621,2433,39827.625,304.125,TRUE
906460,Death Link,2021-11-29,5.8969,5.4,33,FALSE,['Amazon Prime Video'],David Lipper,['Horror'],0,"['Elise Luthman', 'Jessica Belkin', 'Riker Lynch']",86,0,FALSE,FALSE,2021,11,FALSE,TRUE,0.9348,0.6095,6.6,0,3.526360525,100,323,0,113610,342,22722,68.4,TRUE
619106,Chasing Wonders,2021-06-04,5.5615,4.7,7,FALSE,['Amazon Prime Video'],Paul Meins,['Drama'],0,"['Paz Vega', 'Edward James Olmos', 'Jessica Marais']",85,4,FALSE,FALSE,2021,6,TRUE,FALSE,2.3727,0.1931,1.4,0,2.079441542,0,0,0,1374,1,274.8,0.2,FALSE
593910,Cinderella,2021-09-03,4.7369,6.337,1447,FALSE,['Amazon Prime Video'],Kay Cannon,"['Fantasy', 'Romance', 'Comedy']",0,"['Camila Cabello', 'Nicholas Galitzine', 'Idina Menzel']",112,2,FALSE,FALSE,2021,9,FALSE,FALSE,4.6325,0.9364,289.4,0,7.277938573,100,844,0.13,5818157,25900,1163631.4,5180,TRUE
762879,Christmas...Again?!,2021-12-03,4.5914,6.523,110,FALSE,['Disney Plus'],Andy Fickman,"['Family', 'Comedy', 'Fantasy', 'TV Movie', 'Drama']",0,"['Scarlett Estevez', 'Daniel Sunjata', 'Alexis Carra']",94,2,FALSE,FALSE,2021,12,FALSE,TRUE,2.4431,0.524,22,0,4.709530201,100,100,0,299763,2813,59952.6,562.6,FALSE
666243,The Witcher: Nightmare of the Wolf,2021-08-23,5.1041,7.4,1045,FALSE,['Netflix'],Han Kwang Il,"['Animation', 'Action', 'Fantasy']",0,"['Theo James', 'Mary McDonnell', 'Lara Pulver']",83,4,FALSE,FALSE,2021,8,TRUE,FALSE,7.7252,0.1993,209,0,6.952728645,100,644,0,2729924,70665,545984.8,14133,TRUE
669671,Night Teeth,2021-10-20,4.682,6.424,835,FALSE,['Netflix'],Adam Randall,"['Horror', 'Thriller', 'Action']",21700000,"['Jorge Lendeborg Jr.', 'Debby Ryan', 'Lucy Fry']",107,2,FALSE,FALSE,2021,10,FALSE,FALSE,3.4799,0.0429,167,16.89282286,6.728628613,100,879,0,3288024,48491,657604.8,9698.2,TRUE
611489,Init!ation,2021-05-07,5.5115,5.098,148,FALSE,['Amazon Prime Video'],John Berardo,"['Horror', 'Mystery']",0,"['Lindsay LaVanchy', 'Isabella Gómez', 'Froy Gutierrez']",96,2,FALSE,FALSE,2021,5,TRUE,FALSE,1.4537,0.1471,29.6,0,5.003946306,0,0,0,40669,496,8133.8,99.2,FALSE
808090,A House on the Bayou,2021-11-19,4.5723,5.685,184,FALSE,['Amazon Prime Video'],Alex McAulay,"['Horror', 'Mystery', 'Thriller']",0,"['Paul Schneider', 'Angela Sarafyan', 'Lia McHugh']",89,2,FALSE,FALSE,2021,11,FALSE,TRUE,1.7277,0.3712,36.8,0,5.220355825,100,291,0,1451794,1971,290358.8,394.2,TRUE
617653,The Last Duel,2021-10-15,5.0093,7.413,3681,TRUE,['Hulu'],Ridley Scott,"['History', 'Drama', 'Action']",100000000,"['Matt Damon', 'Adam Driver', 'Jodie Comer']",153,3,TRUE,FALSE,2021,10,FALSE,FALSE,11.8549,2.7653,736.2,18.42068075,8.211211362,100,871,0.1,10750544,66130,2150108.8,13226,TRUE
834347,Wired Shut,2021-08-30,5.5595,5,25,FALSE,['Amazon Prime Video'],Alexander Sharp,"['Horror', 'Thriller']",0,"['Blake Stadel', 'Natalie Sharp', 'Behtash Fazlali']",95,1,FALSE,FALSE,2021,8,TRUE,FALSE,1.4375,0,5,0,3.258096538,0,0,0,26829,104,5365.8,20.8,FALSE
602269,The Little Things,2021-01-29,4.1795,6.331,2690,TRUE,['Netflix'],John Lee Hancock,"['Drama', 'Crime', 'Thriller']",30000000,"['Denzel Washington', 'Rami Malek', 'Jared Leto']",128,2,FALSE,FALSE,2021,1,FALSE,FALSE,6.1684,0.8885,538,17.21670797,7.897668151,100,725,0.14,18871021,58120,3774204.2,11624,TRUE
998494,Alien Danger! With Raven Van Slender,2021-02-02,3.7878,0,0,FALSE,['Amazon Prime Video'],James Balsamo,['Horror'],0,"['Bill Victor Arucan', 'Sephdok Ramone', 'James Balsamo']",,1,FALSE,FALSE,2021,2,FALSE,FALSE,0.7731,0.7731,0,0,0,0,0,0,2397,40,479.4,8,FALSE
777620,Caged,2021-01-26,5.459,6.3,123,FALSE,['Amazon Prime Video'],Aaron Fjellman,"['Thriller', 'Horror', 'Drama']",0,"['Edi Gathegi', 'Melora Hardin', 'Angela Sarafyan']",81,2,FALSE,FALSE,2021,1,FALSE,FALSE,2.017,0.2016,24.6,0,4.820281566,100,876,0,836435,5409,167287,1081.8,TRUE
583081,Warning,2021-10-22,4.9296,4.8,126,FALSE,['Amazon Prime Video'],Agata Alexander,['Science Fiction'],0,"['Thomas Jane', 'Tomasz Kot', 'Toni Garrn']",85,7,FALSE,FALSE,2021,10,FALSE,FALSE,2.8324,0.0363,25.2,0,4.844187086,100,671,1,410451,1274,82090.2,254.8,TRUE
