name,person_id,popularity
Scott Ly,1104321,0.3091
Janis Carter,3042404,0.0214
Christina Ricci,6886,4.2967
Grace Song,2399051,0.0462
Jana Victoria,3280220,0.0286
James Jagger,1118978,0.8787
Gabriel Guevara,2786960,10.288
Sam Waterston,8975,1.6693
Shari Fontani,5436196,0.0214
Catherine Curtin,205808,1.4656
Claire Foy,120932,1.6402
Scott Frank,2199,0.7527
Rosmary Yaneva,3798366,0.098
Nancy Pelosi,984100,0.8307
Tim Abell,99235,0.6823
Lamorne Morris,1181327,0.8054
Ben Barlow,4140308,0.0071
Adassa,3150233,0.1914
Didem Erol,131099,0.4805
Devin Laster,1289443,0.0893
Lexi Giovagnoli,1085816,0.6602
Jake Brown,2635147,0.1024
Jason Martorino,1369205,0.1058
Kristanna Loken,7218,2.5663
Kirsty McKenzie,2130157,0.0286
Jose Colon,3566561,0.4361
Searit Huluf,2437400,0.1241
Neil Cole,1517335,0.05
Riona Lally,4696486,0.0886
Corey Hawkins,1154054,1.2574
Michael Stabile,1480023,0.0
Alexander Ludwig,23498,3.1428
Rory J. Saper,1192006,1.1182
Alyssa Sutherland,220620,1.9715
Matthew Mitchell Espinosa,3778232,0.0143
Dev Patel,76788,1.8864
Don Cheadle,1896,3.0463
Bill Nighy,2440,5.1481
X Mayo,2267887,0.6056
Yahya Abdul-Mateen II,1639847,1.2702
KaDee Strickland,20388,1.1055
Robbie Amell,1223726,3.276
Jack Kesy,1292258,0.9705
Oscar Isaac,25072,5.155
Summer Phoenix,34543,1.3242
Cristiane Justino,123604,0.0811
Heidi Montag,1223711,0.3028
Thomas Haden Church,19159,3.2057
Exzinia Scott,2909683,0.1175
Dan Corbett,5571272,0.0286
Leo Bill,29237,0.9633
Stephen Ellis,1877034,0.0143
Tzi Ma,21629,1.6178
James Marsden,11006,3.8959
Jeannie Berlin,124377,0.9664
Marion Cotillard,8293,4.0793
Davis Hall,1364981,0.2423
Stephen Amell,76110,3.9376
Sarah Jeffery,1331456,0.6411
Mircea Monroe,83352,1.5519
Ziad Bakri,1619456,1.2298
Mark Arnold,119893,1.3754
Logan Miller,116088,1.4873
Katie Holmes,3897,5.0509
Derek Nelson,1857869,0.3491
Antonio Sabàto,33708,0.4146
Tanya Karn,2483087,0.1133
Wilson Bethel,85779,1.8366
Griffin Murray-Johnston,2764207,0.1113
Faye Dunaway,6450,2.6579
Melody Hurd,2331360,1.1336
Kevin Michael Martin,1701955,0.2396
Rose Byrne,9827,4.7043
Miku Martineau,2417570,2.2054
Uma Thurman,139,7.0373
Thom Hallum,2815598,0.6203
Augie Duke,1014696,0.8812
Natalia Dominguez,2968682,0.0
Cassidy Naber,1494097,0.2075
Olivia Thirlby,52442,2.2979
Fantasia Barrino,165909,0.3279
Joshua Bassett,1975658,1.4703
Edward James Olmos,587,2.3194
Diana Irvine,1702807,0.5458
Jacki Von Preysing,4082598,0.0552
Jackie Robinson,3608579,0.0143
Céline Dion,16303,0.66
Lew Hopson,141051,0.432
Miguel Bernardeau,1846370,0.7527
David Yost,56896,0.5027
Natalie Burn,237445,1.2504
Kiernan Shipka,934289,5.5685
Josh Fleury,3831587,0.0214
Leanne Lapp,1098661,2.4055
Luke Mably,68307,0.9702
Elizabeth Kaluev,3956612,0.1367
Josh Duhamel,19536,3.029
Nicholas Baroudi,1845010,0.3228
Calvin Baxter,3639500,0.0361
Brittany Bristow,1050328,0.8787
Jacki Weaver,67837,1.2145
Patton Oswalt,10872,1.6252
Orin O'Brien,4191931,0.7226
Noah Centineo,1253353,4.4609
Craig David Dowsett,3564234,0.1154
Jenah Maravilla,4062078,0.0286
Tom Victor,4149567,0.0
Jack Harlow,3000374,0.8293
Jason London,52474,1.9127
Joshua M. Lester,3219346,0.0496
Andrew Koji,1658375,2.8435
Keesha Sharp,155669,1.3892
Peter Davison,47513,1.4652
Kate Dickie,71083,1.8655
Danielle C. Ryan,135532,0.8728
Andrew Biernat,3013734,0.8266
Elijah Green,3864921,0.0434
Christopher Sean,1646774,0.4871
Hailey Kilgore,2435851,0.7762
Anelise Foxx,5214992,0.0214
Katy Mixon,59450,1.4812
Breanna Rossi,4881205,0.0
Jeremy Dean,3489472,0.1489
Andy Serkis,1333,4.0928
Johanna Braddy,95038,1.7377
Yasuhiro Isobe,3638835,0.0
Stacy Snyder,1701148,0.1379
Jaimie Alexander,59817,3.1639
Rhys Ifans,7026,2.9344
James Gaisford,1263503,0.6371
America Ferrera,59174,1.8405
Hillary Clinton,216674,0.36
Karl Glusman,1327613,1.9309
Lauren Yap,4062079,0.0382
Charles Woodson,1214252,0.071
Tamsin Topolski,1605791,2.6338
Jacoba Ballard,3510630,0.0338
Orlando Bloom,114,3.2013
Bertrand Leplae,2754653,0.0
Halle Bailey,1735828,1.2971
Danielle Kotch,1179260,0.2593
Amanda Nicholas,3514444,0.0659
Katie Stevens,3347232,0.0
Kevin Kline,8945,2.5696
Lucy DeVito,139310,0.9503
Rupert Fennessy,3282154,0.0143
DJ Perry,57788,0.3905
Katelyn Nacon,1382837,1.4136
Matt Medrano,558897,1.0994
Brendon Small,1214840,0.4891
Malcolm McDowell,56890,4.0322
Mark Harris,4687297,0.1049
Matthew Morrison,155209,1.4364
Phil Hanley,1805214,0.6189
Ma Xinrui,2082543,1.6901
David Krumholtz,38582,2.4069
Taylor Genovese,3263360,0.0261
Joel Edgerton,33192,2.9176
Michele Morrone,2349355,4.1149
Blake Harrison,222068,0.7441
Landon Liboiron,138558,0.7667
Acoryé White,2090369,0.2084
Gloria Estefan,94759,1.1592
Taran Killam,1213573,0.9074
Phoebe Dynevor,1232756,2.7894
Jessica Chancellor,2481064,0.4546
Jill Morris,1651924,0.0454
Nicole Capobianco,3512445,0.0071
Matt Rife,1946119,1.155
Jillian Peterson,554631,0.2447
Samuel Roukin,65445,0.9742
Bill Burr,109708,2.5448
Nnamdi Asomugha,213058,0.6987
Abby Wathen,176778,0.6067
Vanessa Angel,25308,1.334
Nolan Gould,147710,1.4757
Gaia Wise,1339199,1.6485
Laura Gordon,187400,1.1235
Mo'Nique,60561,2.4007
Joel Kim Booster,2371545,0.6893
Andy Garcia,1271,3.8607
Jason Bernardo,4638954,0.0143
Joey Lawrence,51750,4.0943
Melissa Lucio,2843948,0.0143
Brian Hull,2607177,0.0
Ty Deran,3557172,0.0214
Carl Hart,4041954,0.0239
Lindsey Sirera,3111056,0.0404
Cleopatra Bernard,2614968,0.3997
Jamie Neumann,1773830,0.8971
Millie Bobby Brown,1356210,15.6006
Saidah Arrika Ekulona,171754,0.5964
Nicholas Gonzalez,61852,1.4713
Jho Low,2346808,0.0606
George O'Brien,9087,0.8634
Joseph Cannata,3199715,0.0071
Al Jardine,23189,0.3244
Charles Busch,103374,0.1759
Isis Hainsworth,2284412,0.6885
Bokeem Woodbine,71913,1.8986
Ward Emling,1877713,0.1208
Dascha Polanco,1026947,1.0723
Andrea Londo,1618597,1.3299
Ben Coleman,4360823,0.0071
Amaryllis Aubel,3818936,0.0478
Jason K. Wixom,1338033,0.2206
Darci Lynne Farmer,1935341,0.5084
Brando White,5152104,0.748
Hadley Robinson,2311924,0.8768
Nicole Burch,2422800,0.1246
Jan Oliver Lucks,2972744,0.0214
Zoe Doyle,2885252,0.0261
Taissa Farmiga,527313,3.3731
Brittany Clough,3574376,0.0071
Caroline Williams,3897902,0.0071
Mike Birbiglia,113373,0.6178
Seán McLoughlin,1777399,0.3323
Brent Bentley,4021100,0.5293
Derrick DeBlasis,3306061,0.0662
Patrick Dempsey,18352,3.0175
David Koechner,28638,1.5739
John Boyega,236695,1.3157
Brie Larson,60073,2.9833
Mike Tyson,1412329,0.2077
Paloma Kwiatkowski,1257753,0.6195
Toni Garrn,1679828,0.5895
Madeline Brewer,1443712,1.9711
Randy Quaid,1811,2.6539
Sam Del Rio,1973937,0.0214
Thomas Doherty,1729496,1.6905
Brody Hull,4354387,0.0071
Marton Csokas,20982,3.2895
Ben Hall,3114372,0.0357
Michael Dimmitt,1823925,0.0379
Elaine Hendrix,55422,2.273
Julia Tomasone,1678267,0.1461
David Tennant,20049,2.7204
Bruce Payne,27422,1.5087
Riley Madison Fuller,3710753,0.0561
Millicent Simmonds,1815539,0.618
Jason Clarke,76512,3.4756
Emily Blunt,5081,21.9714
Noa Nikita Bleeker,4018047,0.2425
Neal Bledsoe,210818,0.8745
Sam Hennings,164630,0.6792
Stephen Fry,11275,1.8486
Will Kemp,3685600,0.0071
Michael Douglas,3392,4.1662
Lelyn Mac,3721386,0.0
Manuel Garcia-Rulfo,1168097,1.6961
Peter Sohn,21198,0.7318
Katie McCarty,2377071,0.3581
Jack Parr,148811,0.0143
Andy Samberg,62861,5.6396
Rebecca Johnson,1559206,0.0286
Roxi Pope,2829306,0.0615
Michael Caine,3895,7.5397
Kristian Bruun,2673619,0.0
Aaron Stielstra,1036299,0.1819
Andrea Perron,3713416,0.0462
Chris Margetis,1088594,0.0621
Tony Leung Chiu-wai,1337,11.1764
Chris Mullinax,2170918,0.921
Elizabeth Hirsch-Tauber,1842224,0.0655
Paul Dano,17142,4.6758
Chasten Buttigieg,3272084,0.0143
Antwar Walker,4315253,0.0505
Ben Hardy,1452045,4.0929
Jessica Morris,104912,0.5828
Rami Zahar,3282155,0.0497
Alfre Woodard,1981,2.0569
Nicole Marie Johnson,1768723,1.1908
Adam Bessa,1886169,1.496
Elise Bauman,1503534,0.6225
Tyson Beckford,77072,0.9074
Brian McCarthy,4163508,0.0071
Terrance Stewart,2455093,0.0143
Dickie Chivell,5044503,0.0535
James Morosini,2642619,0.075
Patrick McNamee,3115601,0.0574
Crystal The Doll,2779650,2.3174
Jung Jun-ho,84854,1.0183
Hayley Orrantia,1258700,0.5831
Michael Vlamis,1998483,0.449
Sandra Bernhard,3664,1.0099
Brian Chamberlain,1616708,0.3448
Verónica Echegui,114254,11.7839
Wesley Morris,3032670,0.0948
Brian Austin Green,19148,1.472
Richard Neil,121328,0.8371
Ananya Shanbhag,5078611,0.0297
Raffaela Capp,2938281,0.0462
Felix Cortes,4161134,0.0727
Jolene Purdy,20088,0.8953
Danny DeVito,518,3.7028
Katy Clayton,107715,0.2308
Thomasin McKenzie,1356758,2.8242
Ed Harris,228,3.7373
Logan Riley Bruner,1615330,1.1304
Robert Davi,2055,1.667
Najib Razak,2454538,0.1985
Grace Glowicki,1199952,1.2468
Krista Allen,21858,3.221
Daphne Rubin-Vega,9209,0.8897
Krystal Jordan,4715601,0.0143
Michael Placencia,1292158,0.1215
S. Epatha Merkerson,3978,1.3746
Damson Idris,1837297,3.3672
Rik Roberts,3311270,0.0847
Ryder McLaughlin,2092052,0.6304
Pauline Egan,1195506,0.5499
Nikolai Leon,3629486,0.2058
Mary-Louise Parker,18248,3.7394
Kenney Myers,2867126,0.0438
Sasha Anne,3518484,0.0714
Veenu Sandhu,1195508,0.2892
Francesca Barker McCormick,4083416,0.1585
Peter Roordink,2472425,0.052
Anthony Mackie,53650,4.8842
Kristen Bell,40462,4.4684
Avan Jogia,212934,2.9588
Jon Hacker,3701193,0.0281
Tyrell Oberle,3564945,0.0306
Peter Porte,210214,0.7799
Sandra Oh,25540,2.0455
Tyler Courtad,3135313,0.2701
Conor Sherry,3608273,0.7999
Jade Schuyler,2972132,0.0214
Shamier Anderson,1080969,0.8825
Marina Sirtis,2393,2.556
Havana Rose Liu,2378813,1.3155
Kaitlyn Leeb,563643,2.5127
Ryan Lord,3734222,0.1498
Ryan Robertson,3304908,0.0379
Ethan William Childress,2295755,0.1822
LoAnn Kaji,3306083,0.3038
Orlando Jones,18270,1.6732
Kelly Macdonald,9015,2.4728
Ed Wiseman,1242404,0.1275
Tom Lewis,21223,0.0947
Lio Mehiel,2016551,0.5048
Ariel Sekiya,3250924,0.1676
William L. Johnson,76673,0.3562
Vinny Balbo,3335585,0.1592
Marcus T. Paulk,60038,0.6731
Andy Casagrande,1918040,0.0398
Meredith Thomas,1085087,0.6277
Lenny Kravitz,77069,1.3759
LaRonn Marzett,2549380,0.1597
Claudia Black,26054,3.2156
Abigail Cowen,1371456,2.9049
Alessandro Baccini,1693391,0.086
John Earl Jelks,1363452,0.1125
Anthony O'Neal,4458081,0.0
Kenny Leu,1474171,0.2106
Gabriella Uhl,3622692,0.1596
Maxi Witrak,2169708,0.2917
Brit Shaw,1386222,0.4991
Adam Driver,1023139,2.6294
Travis Van Winkle,74290,1.8209
Stephanie Siadatan,3008301,0.3725
Greg Worswick,1253351,0.3369
Kaley Cuoco,53862,7.8124
Colin Farrell,72466,6.1528
Alicia Witt,3128,3.3295
Scarlett Estevez,1512021,2.4431
RJ Mitte,209674,1.9956
Sam Palladio,1097967,1.0694
Sterling Macer Jr.,1246618,0.1921
Haven Lee Harris,3704613,0.0256
Lauren Tsai,1746165,0.9772
Judith Scarpone,51658,0.2438
Juancho Hernangómez,2822959,0.348
Sydney Agudong,3025125,1.6737
Drew Hale,1722212,0.2207
Stephanie Sigman,929937,1.1951
Ansel Elgort,1159982,2.0077
John Roberts,47416,0.0286
Lucy Pinder,1216046,1.4958
Ben Kingsley,2282,4.7229
Al Carretta,2118820,0.1734
Drew Starkey,1939676,3.184
Joe Manganiello,20580,1.776
Michael Horse,3416840,0.0453
Greg Fitzsimmons,1218686,0.1277
Chris Sullivan,1564784,0.0261
Kelly Stables,107791,1.288
Courtne Alyssa Moran,2078286,0.0948
Andrei Lenart,1504796,0.2811
Ross Mead,5009916,0.0454
Vanessa Kirby,556356,5.1278
Tracee Ellis Ross,74611,1.3635
Dan Stevens,221018,3.9081
Jenna Ortega,974169,14.3835
Jacob Perez,2419575,1.1944
Teyonah Parris,970219,1.0054
Scott Adkins,78110,6.4683
Desiree Rogers,3449121,0.0214
Miranda Meadows,3280695,0.0461
Daniel Martin Berkey,1079780,0.13
Mason Thames,2803710,5.683
Jeffrey Wright,2954,2.8147
Meryl Streep,5064,3.8269
Maurice LaMarche,34521,1.1537
Lukas Gage,1371509,1.5387
Elizabeth Hargrave,5571273,0.0357
Maxwell Jenkins,1810651,0.8396
Natasha Capp,2109170,0.1032
Ethan Drew,2170202,0.206
